0 [7.00e-01, 6.20e+00]
100 [5.63e-01, 6.21e+00]
200 [4.54e-01, 6.36e+00]
300 [3.66e-01, 6.48e+00]
400 [3.00e-01, 6.56e+00]
500 [2.53e-01, 6.63e+00]
600 [2.23e-01, 6.68e+00]
700 [2.05e-01, 6.73e+00]
800 [1.96e-01, 6.78e+00]
900 [1.92e-01, 6.82e+00]
1000 [1.92e-01, 6.86e+00]
1100 [1.93e-01, 6.90e+00]
1200 [1.94e-01, 6.93e+00]
1300 [1.96e-01, 6.97e+00]
1400 [1.97e-01, 7.00e+00]
1500 [1.97e-01, 7.04e+00]
1600 [1.97e-01, 7.06e+00]
1700 [1.97e-01, 7.09e+00]
1800 [1.97e-01, 7.12e+00]
1900 [1.96e-01, 7.14e+00]
2000 [1.95e-01, 7.16e+00]
2100 [1.95e-01, 7.18e+00]
2200 [1.94e-01, 7.19e+00]
2300 [1.93e-01, 7.21e+00]
2400 [1.93e-01, 7.22e+00]
2500 [1.92e-01, 7.23e+00]
2600 [1.92e-01, 7.24e+00]
2700 [1.91e-01, 7.25e+00]
2800 [1.91e-01, 7.26e+00]
2900 [1.90e-01, 7.27e+00]
3000 [1.90e-01, 7.27e+00]
3100 [1.90e-01, 7.28e+00]
3200 [1.89e-01, 7.28e+00]
3300 [1.89e-01, 7.29e+00]
3400 [1.89e-01, 7.29e+00]
3500 [1.89e-01, 7.29e+00]
3600 [1.89e-01, 7.30e+00]
3700 [1.89e-01, 7.30e+00]
3800 [1.89e-01, 7.30e+00]
3900 [1.89e-01, 7.30e+00]
4000 [1.89e-01, 7.30e+00]
4100 [1.89e-01, 7.30e+00]
4200 [1.88e-01, 7.31e+00]
4300 [1.88e-01, 7.31e+00]
4400 [1.88e-01, 7.31e+00]
4500 [1.88e-01, 7.31e+00]
4600 [1.88e-01, 7.31e+00]
4700 [1.88e-01, 7.32e+00]
4800 [1.88e-01, 7.32e+00]
4900 [1.87e-01, 7.32e+00]
5000 [1.87e-01, 7.33e+00]
